,0,1
0,0.8,0.172
1,0.8,0.403
2,0.8,0.541
3,0.8,0.407
4,0.8,0.266
5,0.8,0.529
6,0.8,0.4
7,0.8,0.488
8,0.8,0.406
9,0.8,0.34
10,0.8,0.471
11,0.8,0.496
